Title,Rating,Service,Watched,Released
Before Midnight,1.0,,2015,2013
Before Sunset,1.0,,2005,2004
Before the Devil Knows You're Dead,3.0,,2008,2007
Before the Rain,2.0,,2008,1994
Beginners,3.0,,2012,2011
Behind Your Touch,1.0,,2023,
Being Flynn,3.0,,2012,2012
Being John Malkovich,4.0,,2004,1999
Being There,4.0,,2006,1979
Beirut,3.0,,2018,2018
Belle,1.0,,2016,2014
Below Zero,4.0,,2021,2021
Ben Is Back,3.0,HBO,2022,2018
Bent,2.0,,2023,1900
Bergman Island,1.0,,2022,2022
"Berlin, I Love You",3.0,,2019,2019
Bernie,1.0,,2013,2011
Between the Folds,2.0,,2013,2008
Between Us,3.0,,2014,2012
Beyond the Gates,2.0,,2008,2005
Beyond the Lights,2.0,,2015,2014
Beyond the Sea,3.0,,2005,2004
Big Bug,,Netflix,,2022
Big Fish,3.0,Netflix,,2003
Big Night,5.0,,2006,1996
Billy Joel & So It Goes,1.0,HBO,2025,
Billy Lynn's Long Halftime Walk,1.0,,2017,2016
Biutiful,4.0,,2011,2010
Black Bag,3.9,Peacock,2025,
Black Bird,3.0,Apple,2022,2022
Black Coal Thin Ice,2.0,Prime,2025,2014
Black Crab,3.5,,2022,2022
Black Doves season 1,3.0,Netflix,2024,2024
Black Hawk Down,1.0,,2005,2001
Black Mirror  S1-7,3.0,Netflix,2025,
Black Panther,1.0,,2018,2018
Black Rabbit,4.0,Prime,2025,2025
Black Widow,2.0,,2025,
Blade Runner: Workprint,5.0,,2015,1982
Blindspot S1 ,2.0,Netflix,2025,2020
Blink Twice,2.0,Prime,2025,
Blitz,3.2,Apple tv,2024,2024
Blood Diamond,3.0,,2007,2006
Blood Father,2.0,,2017,2016
Blood Simple,4.0,,2005,1984
Blue,4.0,,2010,1993
Blue Jasmine,3.0,,2014,2013
Blue Lights S 1 - 3,3.2,Brit,2025,
Blue Murder,2.0,Peacock,2024,1900
Blue Ruin,2.0,,2015,
Blue V alentine,4.0,,2011,2010
Blue Velvet,4.0,,2004,1986
Boardwalk Empire,1.0,HBO,2022,2010
Bodkin,1.0,,2025,
Body of Lies,4.0,,2009,2008
Bolt,3.0,,2009,2008
Bonneville,1.0,,2009,2006
Boots S1,1.0,Net,2025,2025
Border,4.0,,2021,2018
Bordertown Murders,,Netflix,2021,2021
Borgman,1.0,Prime,,
Born into Brothels,4.0,,2005,2004
Born on the Fourth of July,4.0,,2004,1989
Boston Legal,3.0,,2025,2004
Bottle Shock,3.0,,2009,2008
Boulevard,2.0,,2025,2014
Boy A,4.0,,2009,2007
Boy in the Corner,2.0,,2023,
BPM (Beats Per Minute),1.0,,2018,2017
Brave,3.0,,2013,2012
Brazil,5.0,,2015,1985
Breach,3.0,,2007,2007
Breaking and Entering,4.0,,,2006
Breathe,2.0,Tubi,2025,2024
Brick,3.0,,2006,2005
Bride Flight,3.0,,2011,2008
Bridesmaids,2.0,,2011,2011
Bridge of Spies,4.0,,,2015
Brilliant Minds,2.0,Peacock,2024,2024
Brimstone,3.0,,2017,2017
Brok en Embraces,3.0,,2011,2009
Broken,4.0,Prime,2024,2013
Bronson,3.0,,2010,2008
Brooklyn,3.0,,2016,2015
Brothers,4.0,,2006,2005
Bubble,1.0,,2006,2006
Buck,4.0,,,2011
Bugonia,3.2,Peacock,2025,2025
Bugsy,4.0,,2004,1991
Bullhead,3.0,,2012,2012
Bullitt,4.0,,2004,1968
Burden of Proof series,2.0,Hulu,2025,2018
Buried,2.0,,2019,2010
Burma V J,4.0,,2010,2009
Burn After Reading,4.0,,2009,2008
Burning,1.0,Prime,2022,2018
Burnt,4.0,,2016,2015
Buster's Mal Heart,2.0,,2018,2017
Butch Cassidy and the Sundance Kid,4.0,,2004,1969
Butterfly,2.0,,2006,1999
Cach_,2.0,,2013,2005
Cadillac Records,2.0,,2009,2008
Caf_ Society,1.0,,2017,2016
Cafe,2.0,,2013,2010
Calvary,4.0,,2023,2014
Cameraperson,1.0,,2017,2016
Capote,2.0,,2006,2005
Captain Fantastic,3.0,,2017,2016
Captain Phillips,3.0,,2014,2013
Carnage,3.0,,2012,2011
Carol,1.0,,2016,2015
Carry-On,3.4,Netflix,2024,
Case Sensitive: The point of Rescue,3.0,Prime,2022,2011
Cashback,2.0,,2023,
Casino Royale,2.0,,2007,2006
Cast Away,4.0,,2004,2000
Castle Falls,,Peacock,,
Catch and Release,3.0,,2007,2006
Causeway,3.0,Apple,2022,2022
Cell 211,3.0,,2013,2009
Chameleon Street,1.0,,2008,1990
Changeling,4.0,,2009,2008
Chappie,3.0,,2016,2015
Charlie Wilson's War,3.0,,2008,2007
Charlotte Gray,3.0,,2005,2001
Chasing Shadows,3.0,Britbox,2025,
Che,1.0,,2010,2008
Chef,4.0,,,2014
Chef's Table Legends S1,3.2,Netflix,2025,2025
Cherry,1.0,hulu,2022,2021
Chi-Raq,4.0,,2016,2015
Child 44,1.0,,2016,2015
Children of Men,4.0,,,2006
Chimpanzee,2.0,,2013,2012
China Moon,3.0,,2009,1994
Chinatown,4.0,,2004,1974
Chocolat,4.0,,2004,2000
Chronicle of an Escape,3.0,,2009,2006
Cinderella Man,4.0,,2006,2005
Cinema Paradiso,4.0,,2006,1988
CITIZENFOUR,1.0,,2016,2014
City Island,3.0,,2011,2009
City Island,3.0,Tubi,2025,2009
City of God,4.0,,2005,2002
Civil War,3.0,Max,2025,2024
Clean ,2.0,,2023,
Cleanskin,3.0,Prime,2022,2012
Clemency,3.4,hulu,2023,2019
Clerks,1.0,,2005,1994
Closed Circuit,3.0,,2014,2013
Closer,2.0,,2005,2004
Closing Dynasty,3.0,Netflix,,2023
Cloud Atlas,4.0,,2014,2012
Coco Before Chanel,3.0,,2011,2009
CODA,4.0,Apple,2021,2021
Code of Silence,3.2,Brit,2025,
Cold Mountain,4.0,,2006,2003
Colin from Accounts S1,3.2,Paramount,2025,
Colin From Accounts S2,3.0,Paramount,2025,
Collateral,3.0,,2021,2018
Collateral Beauty,4.0,,2017,2016
Columbus,3.0,,2024,
Coming Home,4.0,,2016,2015
Complete Unknown,3.0,Prime,2022,2016
Complicit,3.4,,2023,
Conclave,3.5,,2024,2024
Contact,4.0,,2004,1997
Conversations with God,1.0,,2007,2006
Conviction,4.0,,2011,2010
Cool Hand Luke,4.0,,2004,1967
Coriolanus,3.0,,2012,2011
Countdown,1.0,Prime,2025,
Coupling: Season 4,3.0,,2008,2004
Cowboys & Aliens,3.0,,2012,2011
Craigslist Joe,3.0,,2014,2012
Crash,5.0,,2006,2005
Crazy Heart,3.0,,2010,2009
Crime Story,3.0,hulu,1900,1900
Criminal,3.0,,2018,2016
Critical Thinking,3.0,Netflix,,
Cross series,2.0,Prime,2025,2024
Crossing the Bridge: The Sound of Istanbul,2.0,,2009,2005
"Crouching Tiger, Hidden Dragon",4.0,,2004,2000
Croupier,2.0,,2012,2000
Cunk on Life,2.5,,2024,1900
Cut Bank,1.0,,2016,2015
Cutie and the Bo xer,2.0,,2015,2013
D_jö Vu,2.0,,2007,2006
Dallas Buyers Club,3.0,,2015,2013
Dances with Wolves,4.0,,2004,1990
Daniel Ellsberg and the Pentagon Papers,4.0,,2010,2009
Dark,1.0,Net,2025,2017
Dark City: Director's Cut,3.0,,2012,1998
Dark Crimes,2.0,Tubi,,2018
Dark Horse,3.0,,2016,2016
Dark Places,3.0,,2019,
Dark River,3.0,,2022,2018
Dark Shadows,1.0,,2013,2012
Dark Winds,1.0,,2022,2022
Darkest Hour,4.0,,2018,2017
Date Night,3.0,,2010,2010
Daughters,3.3,Netflix,2025,2024
Daughters of the Dust,1.0,,,
Days of Heaven,3.0,,2010,1978
Dead Man,3.0,,2005,1996
Dead Man Walking,4.0,,2004,1995
Dead Poets Society,4.0,,2004,1989
Deadfall,3.0,,2013,2012
Dear Child,1.0,Net,2025,2023
Dear Frankie,4.0,,2007,2005
Dear John,1.0,,2015,2010
